id,oppgave_master_id,kode,beskrivelse,bygningsdel
2b9fd917-3d8b-4897-a222-0cc14b199ea0,200.04,1.01,"Kontroller fundamenter og grunnmur visuelt for skader, sprekkdannelser og fukt",216
2bf61b7e-e847-4471-b7c6-3317f50f13c3,381.03,1.3,Lagre servicerapport som dokumentasjon,381
2e13df73-5a5a-43d5-b6a5-427f08253bd2,350.02,1.01,Kontroller visuelt hele kjølemaskinen,350
2e9ca640-8bd0-4bb6-9696-abdbdfdf51d6,300.01,1.09,Les av og registrer overtrykk og undertrykk i loggboken,333
2f945f65-efb1-4d54-b3c9-fd34b95829a5,443.03,1.2,Lukke evt. avvik iht. servicerapport,443
3314ad40-ecac-43c1-9d68-15235080cd32,430.01,1.10,Kontroller at skap/tavle/tavlerom er ryddig og rent,430
3345da87-f3fb-4ef0-bd25-96d9520ed831,237.02,1.1,Kontroller løfte og sveivemekanismer,237
337746bc-1cde-4c39-8394-989a06550830,362.01,1.3,Kontroller at sjalusispjeld åpner og lukker som tiltenkt,362
33a6f397-48bd-45a9-a5d2-5060d99c2add,200.04,1.10,"Kontroller for sår, skader, riper eller løse/knuste fliser, skjøter eller gulvlister",255
34fdd36d-1965-433f-86ca-8057eb5271b3,300.01,1.08,Kontroller alarmoverføring og signaloverføring til brannsentral,333
3776b345-e411-4d4b-b551-dbaa025ec9ad,312.01,1.1,Kontroller at vannet renner i sluket,312
3a226892-83f0-467a-8de6-9135b47ff81f,360.01,1.18,Kontroller at alle temperaturer er innenfor fastsatte intervaller,360
3a4ec118-f7ce-4c2c-9867-e837af2a9657,430.01,1.07,Kontroller at indikasjonslampene er hele og at ingen indikerer feil,430
3b15b113-8273-4ab6-b639-3fa2139c4797,200.03,1.2,Lukk evt. avvik fra servicerapport,200
3bf092d2-6477-4eb5-8978-0651da5fe7bb,332.02,1.1,Bestill årlig kontroll og ettersyn av sprinkleranlegget fra FG-godkjent sprinklerfirma,332
3cb54574-6733-4f32-a5cc-681df25fabcc,350.02,1.10,Kontroller at isolasjon på kjølemaskin og alle tilhørende rør er hele,350
3d273f81-5b40-4e73-ba8a-5982a839290e,745.01,1.2,Kontroller at varmekablene er slått av om våren når det ikke lenger er fare for frost,745
3d2b8b41-13c4-4058-b129-47e3168ffb7a,443.02,1.1,Kontroll batteripakke: Slå av strømtilførsel for nødlys og sjekk at batteri varer minst 1 time,443
